id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,room_type
34954676,"Santa Ana ENT C, 2 dorm, 6 pp, 65 sq.m",105708985,Rafael,Centro,Sol,40,-3,90,2,9,26/08/2019,2.73,27,315,Entire home/apt
34955240,PERFECT HUGE ROOM FOR THE CHAMPION FINAL 4 pers,54834829,Sebas,Salamanca,Goya,40,-3,350,1,1,30/05/2019,0.27,1,365,Private room
34955294,4 pax en Salamanca Area (Castello VI),28038703,Luxury Rentals Madrid,Salamanca,Castellana,40,-3,180,3,1,10/06/2019,0.29,108,344,Entire home/apt
34955504,Beautiful Room in the nicest Area of Madrid,114308233,Benjamin,Salamanca,Castellana,40,-3,170,1,0,01/01/2019,0,1,0,Private room
34956200,Habitacion en pleno Malasaña (centro Madrid),40786912,Vanessa,Centro,Universidad,40,-3,40,1,2,23/06/2019,0.63,1,0,Private room
34956601,One bedroom with balcony Madrid center,42942119,Océane,Centro,Justicia,40,-3,150,1,0,01/01/2019,0,1,0,Private room
34957022,Luminosa y moderna Habitación Individual Madrid,258767905,Esther,Barajas,Timón,40,-3,17,7,2,10/09/2019,0.58,2,54,Private room
34958011,Double private room Diego de León,35389212,Alberto,Salamanca,Guindalera,40,-3,36,1,0,01/01/2019,0,1,0,Private room
34958129,Champions league 1,170741408,Yunes,San Blas - Canillejas,Simancas,40,-3,400,1,0,01/01/2019,0,3,89,Private room
34958451,Champions league 2,170741408,Yunes,San Blas - Canillejas,Simancas,40,-3,400,1,0,01/01/2019,0,3,179,Private room
34958615,DOBO ROOMS MANOTERAS III,133056146,Dobo Rooms,Hortaleza,Valdefuentes,40,-3,226,1,4,02/09/2019,1.02,28,174,Entire home/apt
34958704,Great house close to the river! Fresh in summer!,22616098,Judicaël,Latina,Puerta del Angel,40,-3,65,1,8,08/09/2019,2.89,1,167,Entire home/apt
34958903,Habitación privada doble en Madrid Chamberí.,159097346,Maria Pía,Chamberí,Almagro,40,-3,39,1,2,07/07/2019,0.51,1,102,Private room
34960932,APARTAMENTO COMPLETO MADRID-UEFA CHAMPIONS LEAGUE,117782121,Patricia,Fuencarral - El Pardo,Valverde,40,-3,300,2,0,01/01/2019,0,1,39,Entire home/apt
34961604,Apartamento entero,239734579,Adama,Villa de Vallecas,Casco Histórico de Vallecas,40,-3,450,1,0,01/01/2019,0,1,365,Entire home/apt
34961746,bright room close to O'Donnel,5128737,Antonio,Retiro,Estrella,40,-3,29,2,1,16/09/2019,1,2,162,Private room
34961800,the best option for the champions league final cup,263261651,Carlos,Carabanchel,San Isidro,40,-3,185,2,0,01/01/2019,0,1,363,Private room
